"","course_name_830","prior_knowl_percent","awake_rating","attendance_percent","on_time_percentage","teach_perf_rating_830","sleep_total_830","transport_method_830","commute_time_830","wake_time_830","gpa_830","class_avg_gpa_830","learn_effectiveness_830","course_name_n830","prior_knowl_percent_n830","start_time_n830","also_had_830class_n830","awake_rating_n830","attendance_percent_n830","on_time_percent_n830","teach_perf_rating_n830","sleep_total_n830","transport_method_n830","commute_time_n830","wake_time_n830","gpa_n830","class_avg_gpa_n830","learn_effectiveness_n830"
"39","CHEM 237",0,2,60,100,1,6,"Walking",17,2018-02-26 07:55:00,2.6,2.6,1,"ANTH 479",0,2018-02-26 03:30:00,"No",4,90,100,5,9,"Walking",12,2018-02-26 09:40:00,4,3.2,5
"40","CEP 302",75,3,100,100,1,5.5,"Driving",30,2018-02-26 06:15:00,3,NA,1,"CEP 302",75,2018-02-26 08:30:00,"No",3,100,100,1,5.5,"Driving",30,2018-02-26 06:15:00,3,NA,1
"41","INFO 481",15,3,100,50,3,8,"pub_transport",45,2018-02-26 07:00:00,3.8,NA,4,"INFO 470",50,2018-02-26 01:30:00,"Yes",4,100,100,4,8,"pub_transport",45,2018-02-26 07:30:00,4,NA,4
"42","PSYCH 202",15,4,70,100,5,8,"Walking",15,2018-02-26 06:30:00,4,NA,4,"SPAN 101",25,2018-02-26 10:30:00,"No",5,100,100,5,6,"Walking",15,2018-02-26 06:23:00,4,NA,5
"43","PSYCH 355",20,3,75,90,4,7,"pub_transport",15,2018-02-26 07:05:00,3.9,NA,3,"ANTH 101",35,2018-02-26 02:30:00,"No",3,70,100,2,7,"Walking",15,2018-02-26 08:30:00,4,NA,4
"44","INFO 370",60,2,90,80,3,4,"pub_transport",80,2018-02-26 06:00:00,3.1,3.5,2,"INFO 201",80,2018-02-26 11:30:00,"No",4,100,95,4,6,"pub_transport",80,2018-02-26 08:00:00,4,3.7,4
"45","PSYCH 421",10,4,70,55,5,6,"pub_transport",50,2018-02-26 06:30:00,4,NA,4,"PSYCH 357",20,2018-02-26 11:30:00,"No",5,100,100,5,7,"pub_transport",50,2018-02-26 09:30:00,4,NA,5
"46","MATH 124",60,2,100,100,2,4,"Walking",20,2018-02-26 07:30:00,3.6,3,3,"MATH 309",10,2018-02-26 11:30:00,"No",4,100,100,5,7,"Walking",20,2018-02-26 09:00:00,3.3,3,4
"47","IMT 535",10,4,100,100,5,7,"Walking",15,2018-02-26 06:30:00,4,NA,4,"HCDE 517",20,2018-02-26 06:00:00,"No",4,75,100,4,6,"Walking",15,2018-02-26 07:15:00,3.8,NA,4
"48","INFO 360",50,3,95,85,3,6,"Walking",17,2018-02-26 07:30:00,3.9,NA,2,"INFO 445",30,2018-02-26 03:30:00,"Yes",3,100,100,5,7,"Walking",10,2018-02-26 09:30:00,3.9,3.5,4
"49","CEP 461",0,4,95,100,5,4,"pub_transport",20,2018-02-26 07:50:00,3.9,NA,5,"ESRM 400",20,2018-02-26 09:30:00,"Yes",5,85,100,4,5,"pub_transport",18,2018-02-26 08:55:00,3.9,NA,4
"50","BIOST 524",20,3,100,90,3,7,"pub_transport",10,2018-02-26 07:00:00,3.7,NA,3,"CSSS 510",10,2018-02-26 04:30:00,"No",4,100,80,3,8,"pub_transport",10,2018-02-26 08:00:00,3.6,NA,4
"51","BIOC 440",0,2,50,100,2,5,"pub_transport",10,2018-02-26 07:50:00,2.6,2.6,2,"PHSY 114",0,2018-02-26 01:30:00,"Yes",4,100,100,5,5,"Walking",10,2018-02-26 07:50:00,2.6,NA,4
"52","ECON 200",90,2,100,80,1,6,"Walking",15,2018-02-26 07:00:00,3.5,NA,3,"MATH 124",70,2018-02-26 12:30:00,"No",4,90,90,3,8,"Walking",5,2018-02-26 09:00:00,2.9,2.9,1
"53","ECON 200",0,2,60,95,2,6,"Walking",15,2018-02-26 07:30:00,3,2.8,1,"CSE 142",0,2018-02-26 01:30:00,"No",5,98,100,3,8,"Walking",15,2018-02-26 08:00:00,3.6,2.78,5
"54","IMMUN 441",10,4,100,100,3,7,"Walking",10,2018-02-26 07:40:00,3.6,2.8,3,"PHYS 114",10,2018-02-26 10:30:00,"Yes",4,100,100,5,7,"Walking",10,2018-02-26 07:40:00,4,2.8,5
"55","PHYS  115",10,4,96,90,5,6,"Walking",12,2018-02-26 07:50:00,3.6,NA,4,"BIOC 405",10,2018-02-26 10:30:00,"No",4,99,98,3,8.5,"Walking",10,2018-02-26 09:30:00,3.8,2.8,4
"56","ENGR 231",50,4,100,95,5,7,"Walking",20,2018-02-26 07:00:00,4,NA,4,"MSE 321",0,2018-02-26 09:30:00,"No",3,100,95,3,7,"Walking",25,2018-02-26 07:45:00,3.9,3.4,3
"57","CHEM 120",50,4,40,50,3,7,"Walking",15,2018-02-26 08:00:00,3.5,2.8,3,"PSYCH 305",10,2018-02-26 10:30:00,"Yes",5,95,95,4,7,"Walking",15,2018-02-26 08:00:00,4,NA,4
"58","CEE 337",70,3,80,95,4,6,"Walking",5,2018-02-26 06:00:00,3,NA,2,"CEE 377",80,2018-02-26 10:30:00,"Yes",4,99,95,3,6,"Walking",20,2018-02-26 06:00:00,3.1,NA,4
"59","ECON 490",60,3,100,90,3,6,"Walking",8,2018-02-26 07:30:00,3.7,NA,2,"ECON 464",40,2018-02-26 01:30:00,"No",5,100,100,2,7,"Walking",7,2018-02-26 08:30:00,4,NA,5
"60","ENGL 121",90,2,60,30,1,5,"Walking",8,2018-02-26 08:00:00,3.3,NA,1,"GERMAN 102",1,2018-02-26 10:30:00,"No",4,80,40,5,7,"Walking",8,2018-02-26 10:00:00,3.7,NA,5
"61","COMM 210",40,3,85,100,3,5,"pub_transport",60,2018-02-26 06:30:00,3.4,NA,3,"ARCH 150",0,2018-02-26 12:00:00,"No",5,90,100,4,8,"pub_transport",30,2018-02-26 09:00:00,3.6,NA,5
"62","PHYS 122",20,1,95,90,2,6,"Walking",10,2018-02-26 07:45:00,3.7,NA,2,"CEE 220",10,2018-02-26 10:30:00,"Yes",4,100,100,5,6,"Walking",15,2018-02-26 09:30:00,3.6,NA,5
"63","JAPAN 311",0,5,100,100,5,7,"Walking",15,2018-02-26 06:30:00,3.5,3.8,5,"CSE 311",0,2018-02-26 02:30:00,"Yes",3,100,100,5,7,"Walking",5,2018-02-26 06:30:00,3.1,NA,1
"64","ECON 200",0,3,10,10,1,5,"Walking",1,2018-02-26 07:00:00,1.8,NA,1,"HSTEU 234",10,2018-02-26 11:30:00,"Yes",5,100,100,5,5,"Walking",1,2018-02-26 07:00:00,2.7,NA,5
"65","MATH 124",80,4,100,100,3,8,"Walking",15,2018-02-26 07:30:00,3.7,NA,3,"CHEM 141",40,2018-02-26 11:30:00,"Yes",3,100,100,5,6,"Walking",15,2018-02-26 07:30:00,3.7,NA,5
"66","CLAS 101",10,3,60,60,4,6,"Walking",15,2018-02-26 07:45:00,3.2,NA,4,"LING 269",10,2018-02-26 12:30:00,"No",4,95,95,5,8,"Walking",10,2018-02-26 11:30:00,3.7,NA,5
