"total_sleep_time","transportation_method","prior_knowl","teacher_performance","predicted"
8,"pub_transport",20,"1",2
8,"pub_transport",25,"1",2
8,"pub_transport",30,"1",1
8,"pub_transport",35,"1",1
8,"pub_transport",40,"1",1
8,"pub_transport",45,"1",1
8,"pub_transport",50,"1",1
8,"pub_transport",55,"1",1
8,"pub_transport",60,"1",1
8,"pub_transport",65,"1",1
8,"pub_transport",70,"1",1
8,"pub_transport",75,"1",1
8,"pub_transport",80,"1",1
8,"pub_transport",85,"1",1
8,"pub_transport",90,"1",1
8,"pub_transport",95,"1",1
8,"pub_transport",100,"1",1
9,"pub_transport",0,"1",2
9,"pub_transport",5,"1",2
9,"pub_transport",10,"1",2
9,"pub_transport",15,"1",2
9,"pub_transport",20,"1",2
9,"pub_transport",25,"1",2
9,"pub_transport",30,"1",2
9,"pub_transport",35,"1",2
9,"pub_transport",40,"1",2
9,"pub_transport",45,"1",2
9,"pub_transport",50,"1",2
9,"pub_transport",55,"1",2
9,"pub_transport",60,"1",2
9,"pub_transport",65,"1",2
9,"pub_transport",70,"1",1
9,"pub_transport",75,"1",1
9,"pub_transport",80,"1",1
9,"pub_transport",85,"1",1
9,"pub_transport",90,"1",1
9,"pub_transport",95,"1",1
9,"pub_transport",100,"1",1
10,"pub_transport",0,"1",2
10,"pub_transport",5,"1",2
10,"pub_transport",10,"1",2
10,"pub_transport",15,"1",2
10,"pub_transport",20,"1",2
10,"pub_transport",25,"1",2
10,"pub_transport",30,"1",2
10,"pub_transport",35,"1",2
10,"pub_transport",40,"1",2
10,"pub_transport",45,"1",2
10,"pub_transport",50,"1",2
10,"pub_transport",55,"1",2
10,"pub_transport",60,"1",2
10,"pub_transport",65,"1",2
10,"pub_transport",70,"1",2
10,"pub_transport",75,"1",2
10,"pub_transport",80,"1",2
10,"pub_transport",85,"1",2
10,"pub_transport",90,"1",2
10,"pub_transport",95,"1",2
10,"pub_transport",100,"1",2
11,"pub_transport",0,"1",2
11,"pub_transport",5,"1",2
11,"pub_transport",10,"1",2
11,"pub_transport",15,"1",2
11,"pub_transport",20,"1",2
11,"pub_transport",25,"1",2
11,"pub_transport",30,"1",2
11,"pub_transport",35,"1",2
11,"pub_transport",40,"1",2
11,"pub_transport",45,"1",2
11,"pub_transport",50,"1",2
11,"pub_transport",55,"1",2
11,"pub_transport",60,"1",2
11,"pub_transport",65,"1",2
11,"pub_transport",70,"1",2
11,"pub_transport",75,"1",2
11,"pub_transport",80,"1",2
11,"pub_transport",85,"1",2
11,"pub_transport",90,"1",2
11,"pub_transport",95,"1",2
11,"pub_transport",100,"1",2
12,"pub_transport",0,"1",3
12,"pub_transport",5,"1",3
12,"pub_transport",10,"1",3
12,"pub_transport",15,"1",3
12,"pub_transport",20,"1",3
12,"pub_transport",25,"1",3
12,"pub_transport",30,"1",2
12,"pub_transport",35,"1",2
12,"pub_transport",40,"1",2
12,"pub_transport",45,"1",2
12,"pub_transport",50,"1",2
12,"pub_transport",55,"1",2
12,"pub_transport",60,"1",2
12,"pub_transport",65,"1",2
12,"pub_transport",70,"1",2
12,"pub_transport",75,"1",2
12,"pub_transport",80,"1",2
12,"pub_transport",85,"1",2
12,"pub_transport",90,"1",2
12,"pub_transport",95,"1",2
12,"pub_transport",100,"1",2
13,"pub_transport",0,"1",3
13,"pub_transport",5,"1",3
13,"pub_transport",10,"1",3
13,"pub_transport",15,"1",3
13,"pub_transport",20,"1",3
13,"pub_transport",25,"1",3
13,"pub_transport",30,"1",3
13,"pub_transport",35,"1",3
13,"pub_transport",40,"1",3
13,"pub_transport",45,"1",3
13,"pub_transport",50,"1",3
13,"pub_transport",55,"1",3
13,"pub_transport",60,"1",3
13,"pub_transport",65,"1",3
13,"pub_transport",70,"1",2
13,"pub_transport",75,"1",2
13,"pub_transport",80,"1",2
13,"pub_transport",85,"1",2
13,"pub_transport",90,"1",2
13,"pub_transport",95,"1",2
13,"pub_transport",100,"1",2
14,"pub_transport",0,"1",3
14,"pub_transport",5,"1",3
14,"pub_transport",10,"1",3
14,"pub_transport",15,"1",3
14,"pub_transport",20,"1",3
14,"pub_transport",25,"1",3
14,"pub_transport",30,"1",3
14,"pub_transport",35,"1",3
14,"pub_transport",40,"1",3
14,"pub_transport",45,"1",3
14,"pub_transport",50,"1",3
14,"pub_transport",55,"1",3
14,"pub_transport",60,"1",3
14,"pub_transport",65,"1",3
14,"pub_transport",70,"1",3
14,"pub_transport",75,"1",3
14,"pub_transport",80,"1",3
14,"pub_transport",85,"1",3
14,"pub_transport",90,"1",3
14,"pub_transport",95,"1",3
14,"pub_transport",100,"1",3
15,"pub_transport",0,"1",3
15,"pub_transport",5,"1",3
15,"pub_transport",10,"1",3
15,"pub_transport",15,"1",3
15,"pub_transport",20,"1",3
15,"pub_transport",25,"1",3
15,"pub_transport",30,"1",3
15,"pub_transport",35,"1",3
15,"pub_transport",40,"1",3
15,"pub_transport",45,"1",3
15,"pub_transport",50,"1",3
15,"pub_transport",55,"1",3
15,"pub_transport",60,"1",3
15,"pub_transport",65,"1",3
15,"pub_transport",70,"1",3
15,"pub_transport",75,"1",3
15,"pub_transport",80,"1",3
15,"pub_transport",85,"1",3
15,"pub_transport",90,"1",3
15,"pub_transport",95,"1",3
15,"pub_transport",100,"1",3
16,"pub_transport",0,"1",4
16,"pub_transport",5,"1",4
16,"pub_transport",10,"1",4
16,"pub_transport",15,"1",4
16,"pub_transport",20,"1",4
16,"pub_transport",25,"1",3
16,"pub_transport",30,"1",3
16,"pub_transport",35,"1",3
16,"pub_transport",40,"1",3
16,"pub_transport",45,"1",3
16,"pub_transport",50,"1",3
16,"pub_transport",55,"1",3
16,"pub_transport",60,"1",3
16,"pub_transport",65,"1",3
16,"pub_transport",70,"1",3
16,"pub_transport",75,"1",3
16,"pub_transport",80,"1",3
16,"pub_transport",85,"1",3
16,"pub_transport",90,"1",3
16,"pub_transport",95,"1",3
16,"pub_transport",100,"1",3
17,"pub_transport",0,"1",4
17,"pub_transport",5,"1",4
17,"pub_transport",10,"1",4
17,"pub_transport",15,"1",4
17,"pub_transport",20,"1",4
17,"pub_transport",25,"1",4
17,"pub_transport",30,"1",4
17,"pub_transport",35,"1",4
17,"pub_transport",40,"1",4
17,"pub_transport",45,"1",4
17,"pub_transport",50,"1",4
17,"pub_transport",55,"1",4
17,"pub_transport",60,"1",4
17,"pub_transport",65,"1",3
17,"pub_transport",70,"1",3
17,"pub_transport",75,"1",3
17,"pub_transport",80,"1",3
17,"pub_transport",85,"1",3
17,"pub_transport",90,"1",3
17,"pub_transport",95,"1",3
17,"pub_transport",100,"1",3
18,"pub_transport",0,"1",4
18,"pub_transport",5,"1",4
18,"pub_transport",10,"1",4
18,"pub_transport",15,"1",4
18,"pub_transport",20,"1",4
18,"pub_transport",25,"1",4
18,"pub_transport",30,"1",4
18,"pub_transport",35,"1",4
18,"pub_transport",40,"1",4
18,"pub_transport",45,"1",4
18,"pub_transport",50,"1",4
18,"pub_transport",55,"1",4
18,"pub_transport",60,"1",4
18,"pub_transport",65,"1",4
18,"pub_transport",70,"1",4
18,"pub_transport",75,"1",4
18,"pub_transport",80,"1",4
18,"pub_transport",85,"1",4
18,"pub_transport",90,"1",4
18,"pub_transport",95,"1",4
18,"pub_transport",100,"1",4
19,"pub_transport",0,"1",4
19,"pub_transport",5,"1",4
19,"pub_transport",10,"1",4
19,"pub_transport",15,"1",4
19,"pub_transport",20,"1",4
19,"pub_transport",25,"1",4
19,"pub_transport",30,"1",4
19,"pub_transport",35,"1",4
19,"pub_transport",40,"1",4
19,"pub_transport",45,"1",4
19,"pub_transport",50,"1",4
19,"pub_transport",55,"1",4
19,"pub_transport",60,"1",4
19,"pub_transport",65,"1",4
19,"pub_transport",70,"1",4
19,"pub_transport",75,"1",4
19,"pub_transport",80,"1",4
19,"pub_transport",85,"1",4
19,"pub_transport",90,"1",4
19,"pub_transport",95,"1",4
19,"pub_transport",100,"1",4
20,"pub_transport",0,"1",5
20,"pub_transport",5,"1",5
20,"pub_transport",10,"1",5
20,"pub_transport",15,"1",5
20,"pub_transport",20,"1",5
20,"pub_transport",25,"1",4
20,"pub_transport",30,"1",4
20,"pub_transport",35,"1",4
20,"pub_transport",40,"1",4
20,"pub_transport",45,"1",4
20,"pub_transport",50,"1",4
20,"pub_transport",55,"1",4
20,"pub_transport",60,"1",4
20,"pub_transport",65,"1",4
20,"pub_transport",70,"1",4
20,"pub_transport",75,"1",4
20,"pub_transport",80,"1",4
20,"pub_transport",85,"1",4
20,"pub_transport",90,"1",4
20,"pub_transport",95,"1",4
20,"pub_transport",100,"1",4
21,"pub_transport",0,"1",5
21,"pub_transport",5,"1",5
21,"pub_transport",10,"1",5
21,"pub_transport",15,"1",5
21,"pub_transport",20,"1",5
21,"pub_transport",25,"1",5
21,"pub_transport",30,"1",5
21,"pub_transport",35,"1",5
21,"pub_transport",40,"1",5
21,"pub_transport",45,"1",5
21,"pub_transport",50,"1",5
21,"pub_transport",55,"1",5
21,"pub_transport",60,"1",5
21,"pub_transport",65,"1",5
21,"pub_transport",70,"1",4
21,"pub_transport",75,"1",4
21,"pub_transport",80,"1",4
21,"pub_transport",85,"1",4
21,"pub_transport",90,"1",4
21,"pub_transport",95,"1",4
21,"pub_transport",100,"1",4
22,"pub_transport",0,"1",5
22,"pub_transport",5,"1",5
22,"pub_transport",10,"1",5
22,"pub_transport",15,"1",5
22,"pub_transport",20,"1",5
22,"pub_transport",25,"1",5
22,"pub_transport",30,"1",5
22,"pub_transport",35,"1",5
22,"pub_transport",40,"1",5
22,"pub_transport",45,"1",5
22,"pub_transport",50,"1",5
22,"pub_transport",55,"1",5
22,"pub_transport",60,"1",5
22,"pub_transport",65,"1",5
22,"pub_transport",70,"1",5
22,"pub_transport",75,"1",5
22,"pub_transport",80,"1",5
22,"pub_transport",85,"1",5
22,"pub_transport",90,"1",5
22,"pub_transport",95,"1",5
22,"pub_transport",100,"1",5
23,"pub_transport",0,"1",5
23,"pub_transport",5,"1",5
23,"pub_transport",10,"1",5
23,"pub_transport",15,"1",5
23,"pub_transport",20,"1",5
23,"pub_transport",25,"1",5
23,"pub_transport",30,"1",5
23,"pub_transport",35,"1",5
23,"pub_transport",40,"1",5
23,"pub_transport",45,"1",5
23,"pub_transport",50,"1",5
23,"pub_transport",55,"1",5
23,"pub_transport",60,"1",5
23,"pub_transport",65,"1",5
23,"pub_transport",70,"1",5
23,"pub_transport",75,"1",5
23,"pub_transport",80,"1",5
23,"pub_transport",85,"1",5
23,"pub_transport",90,"1",5
23,"pub_transport",95,"1",5
23,"pub_transport",100,"1",5
24,"pub_transport",0,"1",5
24,"pub_transport",5,"1",5
24,"pub_transport",10,"1",5
24,"pub_transport",15,"1",5
24,"pub_transport",20,"1",5
24,"pub_transport",25,"1",5
24,"pub_transport",30,"1",5
24,"pub_transport",35,"1",5
24,"pub_transport",40,"1",5
24,"pub_transport",45,"1",5
24,"pub_transport",50,"1",5
24,"pub_transport",55,"1",5
24,"pub_transport",60,"1",5
24,"pub_transport",65,"1",5
24,"pub_transport",70,"1",5
24,"pub_transport",75,"1",5
24,"pub_transport",80,"1",5
24,"pub_transport",85,"1",5
24,"pub_transport",90,"1",5
24,"pub_transport",95,"1",5
24,"pub_transport",100,"1",5
0,"pub_transport",0,"2",1
0,"pub_transport",5,"2",1
0,"pub_transport",10,"2",1
0,"pub_transport",15,"2",1
0,"pub_transport",20,"2",1
0,"pub_transport",25,"2",1
0,"pub_transport",30,"2",1
0,"pub_transport",35,"2",1
0,"pub_transport",40,"2",1
0,"pub_transport",45,"2",1
0,"pub_transport",50,"2",1
0,"pub_transport",55,"2",1
0,"pub_transport",60,"2",1
0,"pub_transport",65,"2",1
0,"pub_transport",70,"2",1
0,"pub_transport",75,"2",1
0,"pub_transport",80,"2",1
0,"pub_transport",85,"2",1
0,"pub_transport",90,"2",1
0,"pub_transport",95,"2",1
0,"pub_transport",100,"2",1
1,"pub_transport",0,"2",1
1,"pub_transport",5,"2",1
1,"pub_transport",10,"2",1
1,"pub_transport",15,"2",1
1,"pub_transport",20,"2",1
1,"pub_transport",25,"2",1
